|CanTrx_Tarjetas|MonTrx_Tarjetas|SaldoCTS|SOW_SCO|CanTrx_TC|Can_Ingresos_Glomo|NroCtasAhorro|MaxLinTC|SaldoActivo_SSFF|Edad|SaldoAhorro|ME_TOTAL|Sueldo
61|18|1561.51|6.57|0.0|15|0|1|9000.0|6683.14|43|1879.4|7022.46|4862.42
62|18|2123.44|0.08|0.0|0|29|1|9200.0|4356.57|29|4593.97|5461.73|2679.24
63|13|3399.74|0.33|0.0|7|0|3|9900.0|36675.88|30|993.477|2857.65|1722.48
64|29|2199.5|8066.15304|0.0|29|26|3|30000.0|4302.67|53|1997.9876|12610.143|15139.92
65|30|6671.03|17381.38|0.0|27|0|3|13700.0|21408.25|68|6178.56416|4262.72|3888.7
66|120|3392.58|0.0|0.0|13|92|3|10000.0|5234.05|43|5516.9|42261.75|8126.59
67|23|897.62|0.0|0.0|4|4|1|6300.0|178767.66|36|692.48|3779.19|2289.73
68|72|7515.74|0.0|0.0|44|36|1|36000.0|566485.7|48|9524.49|12206.61|11525.81
69|1|100.0|7.19|0.0|0|22|1|1500.0|315.65|23|18.08|935.0|954.77
70|13|1414.43|1288.41|0.0|2|0|2|80000.0|88759.5|37|12395.6788|7703.31|9092.86
71|40|4385.22|0.0|0.0|5|3|6|28000.99|21395.71|35|4938.34|8000.17|3050.47
72|19|1111.16|0.81|0.0|4|84|2|5410.0|3435.84|43|1223.58|3400.79|1213.88
73|49|3949.96|0.0|0.9978|49|0|1|40000.01|980016.2|42|6201.86|9862.08|7569.31
74|7|1780.0|1.86|0.0|0|5|1|7200.0|27258.4|51|16274.94|6645.93|2794.31
75|4|828.41|0.0|0.0|1|20|2|31192.8|67930.52|38|527.948|618.75|10500.0
76|37|1151.86|0.0|0.6759|0|1|2|500.0|86388.44|46|3966.34|4117.27|3415.8
77|137|9513.4|0.0|0.6784|112|31|2|100000.0|381281.1|48|375.45521|19696.508|9463.36
78|1|1000.69|0.63|0.0|1|0|1|6900.0|22294.03|52|1752.91|3470.05|3100.0
79|62|3445.95|1.73|0.0|19|5|2|70000.0|710052.6|39|18898.08331|18874.5|21686.91
80|14|891.68|3.13|0.004|0|0|1|11047.63|11922.18|49|6.01|4879.07|3000.0
81|1|150.0|0.05|0.03|0|0|1|7100.0|39038.2|70|27.19|2630.0|1759.9
82|20|6619.18|8.91|0.0|13|56|1|32900.0|24141.43|32|1470.97|3473.35|3002.8
83|10|876.97|666.6|0.0|0|16|1|8700.0|2925.65|53|1909.36|2744.73|3647.28
84|41|4925.78|0.0|1.0|0|110|3|7948.49|6653.56|38|4777.84216|11788.636|8189.62
85|14|1363.3|4.59|0.0|2|10|2|1500.0|1058.24|47|118.58|1090.95|1627.21
86|15|1310.7|3.16|0.0|2|40|2|134170.0|1692070.2|35|25441.178|43119.527|41878.04
87|18|851.51|0.0|0.0|3|22|2|45200.0|144.0|36|1879.4|10533.11|2725.19
88|11|512.0|0.0|1.0|0|4|1|1000.0|49319.26|37|2660.71|2735.75|2528.89
89|25|1868.45|1.56|0.0|0|60|2|1500.0|1930.53|27|2961.2|3780.39|2890.14
90|22|776.26|0.04|0.0|0|96|1|35400.0|41519.0|40|841.87|5079.46|2071.37
91|107|7929.11|0.0|0.0|89|86|6|90000.0|42181.81|39|15859.43285|16017.128|12276.28
92|19|1491.4|6.99|0.0|0|27|1|2500.0|5316.52|49|113.19|41305.88|3593.61
93|27|3006.89|0.0|0.0|6|9|1|16000.0|59894.31|40|5949.78|10489.71|7981.67
94|19|874.81|0.04|0.0|14|0|2|13100.0|3667.95|32|1305.25|1925.19|2220.0
95|21|1306.78|0.0|0.0|2|65|1|4991.0|15620.01|42|0.49|6980.53|4472.44
96|47|6174.9|16.23|0.0|30|27|3|56800.0|62442.36|30|3889.62|8298.99|16682.66
97|7|351.64|0.03|0.5629|0|10|1|0.0|24172.08|49|2777.31|2198.03|3358.8
98|18|3976.83|136.21|0.0|0|10|2|90000.0|3616.24|43|4534.01|13126.54|4436.54
99|7|423.18|0.0|0.0|7|20|2|24700.0|11204.08|74|2584.4106|6424.54|4231.17
100|3|228.65|1.72|0.0|0|16|2|35000.0|553024.6|44|2955.59|5415.95|8893.34
101|34|28174.89|7.65|0.0|3|0|4|60000.0|786614.4|37|1598.84|47491.12|7425.72
102|41|4221.3|0.04|0.0|0|66|1|50.0|4927.03|49|3197.2|6810.13|4006.8
103|14|1648.79|0.0|0.02|0|5|2|6800.0|563704.6|63|715.8936|7883.6494|7780.0
104|3|167.08|0.0|0.0|1|8|2|42800.0|193276.6|47|5329.56776|5133.471|5152.16
105|42|100629.65|0.0|0.0|22|26|2|104505.0|1248185.2|56|8300.51|47133.26|34677.87
106|67|2501.65|16.4|0.0|0|24|2|1000.0|76268.0|34|12806.9788|6296.914|4951.56
107|13|822.19|0.0|0.9938|0|22|2|24563.22|441766.2|46|23953.72|4885.39|3022.93
108|20|1990.29|1288.93|0.0|1|0|2|49500.0|50200.83|47|39751.15072|5078.54|24653.04
109|11|2070.25|0.83|0.0|2|0|1|9700.0|3329.15|40|1580.18|2132.85|1714.54
110|22|881.36|9893.28|0.0|0|10|3|11900.0|782.02|32|22219.06|1648.06|6701.81
111|35|6120.14|10767.74|0.0|29|0|2|49000.0|570954.6|50|94327.79368|12429.726|30858.4
112|32|1862.28|0.0|0.0|1|7|3|29700.0|31993.9|29|12563.1268|6956.812|4606.88
113|12|2047.0|0.03|0.5705|0|3|3|0.0|25441.82|50|700.02|4524.0|3088.33
114|32|2108.12|10328.55|0.0|1|27|1|24100.0|82378.36|35|2091.22|5540.0|9199.48
115|5|391.86|3019.5|0.0|0|19|3|12100.0|16689.53|35|4662.52|6507.1|2046.36
116|17|2143.21|2162.98|0.0|0|47|3|300.0|657352.94|44|21425.65776|16211.436|11294.61
117|13|1982.69|0.0|0.0|10|4|1|4900.0|4422.17|61|11.03|6367.84|5590.27
118|14|1252.41|73429.61|0.0|10|14|6|41700.0|1246718.0|58|65128.40819|24395.22|6789.12
119|1|79.9|0.25|0.0|0|36|1|300.0|31903.72|48|4726.52|94.9|1025.0
120|9|1023.29|0.0|0.0|2|9|2|10000.0|64987.76|25|27473.6246|2476.24|6604.35
121|1|235.04|3.51184|0.0|1|12|3|33000.0|0.0|83|1387217.1218400002|54482.668|22557.37
122|62|3405.49|0.99|0.0|0|19|2|1700.0|71214.79|33|4466.99|9167.55|11810.11
123|64|7377.18|2.2|0.0|41|68|3|45400.0|116962.97|39|3841.95753|7361.453|8797.32
124|27|1418.89|0.0|0.0|27|41|1|30000.0|499843.0|35|15547.57|4373.89|8111.0
125|14|1118.0|0.05|0.0|0|31|1|10000.0|9825.15|48|79.84|3945.33|1341.61
126|19|1304.7|0.0|0.6796|0|6|3|1706.85|3266.33|30|186.86|3364.4|2297.39
127|2|635.87|4.05|0.8336|1|0|3|22800.0|259142.73|48|5620.31|6720.29|5806.62
128|63|2343.38|0.0|0.0|33|44|1|14400.0|246.3|34|2351.31|4056.81|5137.05
129|29|5408.88|5568.57|0.0|25|12|3|117500.0|130694.85|48|5490.57048|11888.39|10592.53
130|35|4732.71|32.22|0.0|31|18|2|30000.01|499313.97|29|359.57774|12500.456|9456.85
131|80|11187.42|1.4|0.9752|63|9|5|94700.0|1294914.6|60|2303.22733|82559.9|58051.4
132|4|847.84|2693.31|0.0|0|27|1|8400.0|11081.17|41|548.0|1585.84|999.0
133|20|500.33|0.04|0.0|15|11|3|3700.0|152.85|23|3362.37275|566.22473|1940.32
134|1|60.0|0.08|0.0|0|12|3|4300.0|17571.38|28|438.52|1845.63|2198.88
135|2|72.0|4090.74|0.0|0|20|1|9863.0|260.01|24|3153.27|2587.9|5215.33
136|67|9798.23|0.0|0.0|59|78|3|20000.0|7611.7|30|4045.89544|13491.59|5969.51
137|50|4679.3|0.0|0.0|9|14|4|17000.0|858760.56|33|84145.09722|11962.693|12880.0
138|11|2615.92|3.44|0.0|0|23|1|8400.0|32700.59|41|1643.04|5724.22|4337.45
139|4|142.71|4.54|0.0|4|0|1|4900.0|449.34|27|14210.61|1458.71|2564.44
140|13|1481.18|0.0|0.0|1|11|1|5000.0|398.0|29|225.94|3692.72|3704.47
141|31|7486.65|165643.47|0.9758|24|19|2|153000.0|1373831.8|36|433924.9624|16536.633|25864.24
