|GNB|2_Premium|LIMA_MODERNA|A|B|Riesgo_Bajo|LIMA_SUR|Antiguedad_SSFF|NroTrxAgencia|1_Beyond|Frescura|NroTrxATM|SBP|Can_Contactabilidad_3UM|3_Preferente|SaldoHIP|D|Superior|SaldoVEH|DIVORCIADO|ImporteTrxWeb|ImporteTrxCorresponsal|M|MontoOfertado|Edad|class
37|0|0|0|0|0|0|0|8.0|5.0|0|3.0|6.0|0|0.0|0|84858.77|0|0|0.0|1|750.9|0.0|1|4050.0|38.0|0.0
38|0|0|1|0|0|0|0|5.0|0.0|0|3.0|8.0|0|0.0|0|9762.48|0|0|0.0|0|0.0|0.0|1|8000.0|29.0|0.0
39|0|0|0|0|0|0|0|9.0|0.0|0|3.0|10.0|0|0.0|0|0.0|1|1|0.0|0|0.0|4498.58|1|14000.0|55.0|0.0
40|0|0|0|0|0|0|0|2.0|4.0|0|3.0|0.0|0|2.0|0|0.0|0|0|0.0|0|0.0|1576.84|1|12550.0|63.0|0.0
41|0|0|0|0|0|1|0|2.0|0.0|1|0.0|7.0|0|2.0|0|0.0|0|0|0.0|0|8753.979100000006|6565.61|1|11900.0|71.0|1.0
42|0|0|0|0|0|0|0|6.0|0.0|0|2.0|7.0|0|0.0|0|125365.61|0|0|0.0|0|0.0|509.04|1|4650.0|48.0|0.0
43|0|1|0|0|1|1|0|18.0|0.0|0|2.0|11.0|0|0.0|0|0.0|0|0|0.0|0|0.0|6114.09|1|15500.0|35.0|1.0
44|0|0|0|0|0|0|0|7.0|0.0|1|2.0|9.0|0|0.0|0|0.0|0|0|0.0|0|3031.37|5695.97|1|10000.0|55.0|1.0
45|0|0|1|0|0|0|0|9.0|8.0|1|3.0|8.0|1|0.0|0|566802.43|0|1|0.0|0|2871.8|5007.95|1|14000.0|36.0|1.0
46|0|1|0|0|0|0|0|1.0|6.0|0|1.0|7.0|0|0.0|0|0.0|0|1|0.0|1|1844.37|1138.01|1|6950.0|59.0|0.0
47|0|0|0|0|0|0|0|9.0|0.0|0|0.0|7.0|0|0.0|1|0.0|1|0|0.0|0|0.0|0.0|1|8000.0|36.0|1.0
48|0|0|0|0|0|0|0|7.0|0.0|0|2.0|0.0|0|0.0|0|0.0|0|0|0.0|1|0.0|993.0|1|5450.0|51.0|0.0
49|0|1|0|0|0|1|0|5.0|3.0|0|5.0|7.0|0|3.0|0|0.0|1|0|0.0|0|2339.61|652.92|0|7850.0|50.0|0.0
50|0|0|0|0|0|0|0|1.0|6.0|0|5.0|9.0|1|0.0|0|0.0|0|0|0.0|1|0.0|0.0|0|3250.0|40.0|0.0
51|0|0|0|0|0|0|0|4.0|0.0|1|2.0|8.0|0|0.0|0|0.0|1|0|0.0|0|0.0|0.0|0|4700.0|29.0|1.0
52|0|1|0|0|0|0|0|2.0|0.0|0|2.0|8.0|0|0.0|0|0.0|0|0|0.0|1|924.02|652.88|0|14000.0|53.0|1.0
53|0|0|0|0|0|0|0|18.0|4.0|0|4.0|10.0|0|0.0|0|0.0|0|1|0.0|0|3718.66|5964.73|0|11000.0|41.0|1.0
54|0|1|0|0|0|0|0|6.0|7.0|0|1.0|0.0|0|3.0|0|0.0|0|0|0.0|1|0.0|1098.38|1|5850.0|37.0|0.0
55|0|0|0|0|0|0|0|9.0|7.0|1|3.0|7.0|0|3.0|0|710760.84|1|0|0.0|0|4298.33|2669.09|0|6000.0|33.0|0.0
56|0|1|0|0|0|1|0|9.0|5.0|0|5.0|8.0|0|0.0|0|0.0|1|1|0.0|1|0.0|4861.12|0|18000.0|44.0|1.0
57|0|1|0|0|0|0|1|14.0|0.0|0|2.0|9.0|0|2.0|0|0.0|1|0|0.0|1|1671.26|634.84|0|6900.0|28.0|0.0
58|0|0|0|0|0|0|0|1.0|6.0|0|2.0|11.0|0|0.0|1|0.0|0|0|0.0|0|0.0|2284.81|1|5000.0|54.0|1.0
59|0|1|0|0|0|1|0|7.0|5.0|0|4.0|8.0|0|1.0|0|0.0|0|1|0.0|0|2956.65|295.57|0|15000.0|66.0|0.0
60|0|0|0|0|0|1|0|9.0|3.0|0|3.0|9.0|0|0.0|1|0.0|1|1|0.0|0|0.0|0.0|1|10550.0|70.0|0.0
61|0|0|0|0|0|0|0|7.0|0.0|0|2.0|6.0|1|0.0|1|0.0|0|0|0.0|0|1860.84|1341.32|1|5000.0|77.0|0.0
62|0|0|0|0|0|1|0|12.0|0.0|0|1.0|6.0|0|3.0|1|0.0|0|0|0.0|1|0.0|372.02|1|19900.0|59.0|0.0
63|0|0|0|0|0|1|0|4.0|0.0|1|1.0|8.0|0|2.0|0|819841.5606|0|0|0.0|0|0.0|575.36|1|10300.0|52.0|0.0
64|0|0|0|0|0|0|0|2.0|0.0|0|2.0|8.0|0|0.0|0|0.0|0|0|0.0|0|0.0|1566.31|0|750.0|28.0|0.0
65|0|1|0|0|0|1|0|8.0|6.0|0|0.0|7.0|1|0.0|0|251617.6|0|1|0.0|0|485.69|0.0|1|19900.0|56.0|0.0
66|0|1|0|0|0|1|0|6.0|5.0|0|0.0|0.0|0|2.0|0|0.0|0|0|0.0|0|0.0|3384.8|1|14550.0|63.0|1.0
67|0|0|0|0|0|1|0|9.0|3.0|0|0.0|9.0|0|3.0|1|0.0|0|0|0.0|0|0.0|1432.65|1|18000.0|38.0|0.0
68|0|0|0|0|0|0|0|8.0|4.0|1|2.0|8.0|0|2.0|0|0.0|0|0|0.0|1|0.0|793.09|0|10000.0|37.0|0.0
69|0|1|0|0|0|0|0|17.0|0.0|0|2.0|0.0|0|0.0|0|0.0|0|0|0.0|0|0.0|0.0|0|7700.0|60.0|0.0
70|0|1|0|0|0|0|0|1.0|8.0|0|2.0|8.0|0|0.0|0|0.0|0|0|0.0|0|1145.46|4020.46|1|6650.0|38.0|1.0
71|0|0|0|0|0|0|0|3.0|3.0|0|4.0|8.0|0|0.0|1|0.0|0|0|0.0|0|1702.74|223.6|1|5600.0|60.0|0.0
72|0|0|0|0|0|1|0|17.0|6.0|0|2.0|11.0|0|0.0|1|163195.16|1|0|0.0|0|4430.02|0.0|1|10200.0|35.0|1.0
73|0|0|0|0|0|0|0|6.0|7.0|0|1.0|6.0|0|0.0|0|0.0|0|0|0.0|0|0.0|0.0|1|6000.0|38.0|0.0
74|1|0|0|0|0|0|0|17.0|0.0|1|0.0|11.0|0|0.0|0|0.0|0|0|0.0|0|0.0|3576.79|1|17000.0|35.0|1.0
75|0|0|0|0|0|0|0|8.0|7.0|1|2.0|11.0|0|3.0|0|0.0|0|0|0.0|0|0.0|5356.38|0|10600.0|33.0|1.0
76|0|0|0|0|0|0|0|4.0|6.0|1|1.0|8.0|0|0.0|0|0.0|0|0|0.0|0|6218.15|5850.48|1|6600.0|38.0|1.0
77|1|0|0|0|0|0|0|8.0|5.0|0|2.0|11.0|0|2.0|1|0.0|0|0|0.0|0|3154.91|0.0|1|6000.0|71.0|0.0
78|0|0|1|0|0|0|0|3.0|7.0|0|3.0|7.0|0|0.0|1|161188.59|0|0|0.0|0|805.23|0.0|0|6300.0|42.0|1.0
79|0|0|1|0|0|0|0|4.0|3.0|0|2.0|7.0|0|0.0|0|138871.7|0|0|0.0|0|0.0|0.0|0|4000.0|36.0|0.0
